Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2000-09-29,-1.26,1.15,1.25,-0.01,1.34,0.025
2000-10-02,-0.7,-1.11,1.47,1.8,0.65,0.025
2000-10-03,-1.29,0.2,1.05,1.56,0.93,0.025
2000-10-04,0.64,-0.27,-0.64,-0.59,-1.35,0.025
2000-10-05,-0.23,-0.32,0.08,1.36,1.17,0.025
2000-10-06,-2.17,0.06,1.58,1.45,0.86,0.025
2000-10-09,-0.39,-0.43,0.51,-0.68,-0.07,0.025
2000-10-10,-1.44,0.14,0.69,0.67,1.35,0.025
2000-10-11,-1.77,0.22,0.85,1.62,0.92,0.025
2000-10-12,-2.83,0.81,1.21,1.78,0.84,0.025
2000-10-13,3.88,-1.06,-2.36,-1.84,-2.59,0.025
2000-10-16,0.24,-0.27,-0.47,-0.64,1.1,0.025
2000-10-17,-1.95,0.16,0.59,1.66,0.94,0.025
2000-10-18,-0.84,-0.09,0.6,0.76,0.43,0.025
2000-10-19,3.66,-0.84,-2.13,-1.69,-2.98,0.025
2000-10-20,0.92,0.38,-1.01,-1.69,-1.53,0.025
2000-10-23,0.03,0.46,-0.67,-0.97,0.53,0.025
2000-10-24,-0.12,-0.33,1.16,1.32,0.96,0.025
2000-10-25,-2.52,0.27,1.88,2.61,2.07,0.025
2000-10-26,0.0,0.71,-0.33,0.45,-0.16,0.025
2000-10-27,0.91,-0.92,1.25,0.67,0.12,0.025
2000-10-30,0.74,-0.84,1.82,2.01,1.57,0.025
2000-10-31,2.75,0.03,-1.65,-2.11,-1.39,0.025
2000-11-01,-0.48,-0.07,0.49,-0.17,0.17,0.024
2000-11-02,1.05,0.96,-1.28,-1.23,-0.62,0.024
2000-11-03,-0.03,0.74,-1.21,-0.53,-0.42,0.024
2000-11-06,0.13,-0.77,0.53,0.34,0.9,0.024
2000-11-07,-0.08,0.32,-0.33,-0.23,-0.25,0.024
2000-11-08,-1.97,0.78,2.16,1.9,2.24,0.024
2000-11-09,-0.96,-0.15,0.8,1.81,0.46,0.024
2000-11-10,-2.69,0.05,2.31,1.05,2.12,0.024
2000-11-13,-1.39,0.39,1.71,1.82,-0.28,0.024
